Exp,Plot,NumSp,FgNum,Fgset,C3,C4,Forb,Legume,Woody
120,123,4,2,4L,0,1,0,1,0
120,124,1,1,3,1,0,0,0,0
120,125,2,2,4L,0,1,0,1,0
120,126,0,0,,0,0,0,0,0
120,127,2,2,LW,0,0,0,1,1
120,128,32,4,34FL,1,1,1,1,0
120,129,1,1,F,0,0,1,0,0
120,130,8,5,34FLW,1,1,1,1,1
120,131,8,1,4,0,1,0,0,0
120,132,32,5,34FLW,1,1,1,1,1
120,133,4,3,4FL,0,1,1,1,0
120,134,8,2,FL,0,0,1,1,0
120,135,1,1,4,0,1,0,0,0
120,136,16,5,34FLW,1,1,1,1,1
120,137,1,1,L,0,0,0,1,0
120,138,4,2,3F,1,0,1,0,0
120,139,4,2,3L,1,0,0,1,0
120,140,8,2,4F,0,1,1,0,0
120,141,16,2,FL,0,0,1,1,0
120,142,1,1,3,1,0,0,0,0
120,143,4,1,4,0,1,0,0,0
120,144,8,3,4FL,0,1,1,1,0
120,145,8,3,4FW,0,1,1,0,1
120,146,8,5,34FLW,1,1,1,1,1
120,147,4,4,34FL,1,1,1,1,0
120,148,8,3,34L,1,1,0,1,0
120,149,4,4,4FLW,0,1,1,1,1
120,150,16,2,FL,0,0,1,1,0
120,151,1,1,W,0,0,0,0,1
120,152,32,4,34FL,1,1,1,1,0
120,153,1,1,3,1,0,0,0,0
120,154,16,2,34,1,1,0,0,0
120,155,32,4,34FL,1,1,1,1,0
120,156,16,5,34FLW,1,1,1,1,1
120,157,2,1,3,1,0,0,0,0
120,158,8,2,FW,0,0,1,0,1
120,159,8,3,3LW,1,0,0,1,1
120,160,16,5,34FLW,1,1,1,1,1
120,161,1,1,W,0,0,0,0,1
120,162,8,1,4,0,1,0,0,0
120,163,1,1,4,0,1,0,0,0
120,164,16,5,34FLW,1,1,1,1,1
120,165,2,2,34,1,1,0,0,0
120,166,0,0,,0,0,0,0,0
120,167,1,1,F,0,0,1,0,0
120,168,2,2,34,1,1,0,0,0
120,169,16,5,34FLW,1,1,1,1,1
120,170,8,4,3FLW,1,0,1,1,1
120,171,2,2,3L,1,0,0,1,0
120,172,16,2,34,1,1,0,0,0
120,173,32,4,34FL,1,1,1,1,0
120,174,16,5,34FLW,1,1,1,1,1
120,175,2,2,4L,0,1,0,1,0
120,176,4,3,34F,1,1,1,0,0
120,177,8,5,34FLW,1,1,1,1,1
120,178,8,3,34F,1,1,1,0,0
120,179,4,3,FLW,0,0,1,1,1
120,180,4,1,L,0,0,0,1,0
120,181,8,3,4FW,0,1,1,0,1
120,182,2,2,3F,1,0,1,0,0
120,183,8,1,4,0,1,0,0,0
120,184,32,4,34FL,1,1,1,1,0
120,185,1,1,L,0,0,0,1,0
120,186,16,5,34FLW,1,1,1,1,1
120,187,8,3,4LW,0,1,0,1,1
120,188,8,3,34W,1,1,0,0,1
120,189,2,2,4W,0,1,0,0,1
120,190,4,3,FLW,0,0,1,1,1
120,191,32,5,34FLW,1,1,1,1,1
120,192,8,2,LW,0,0,0,1,1
120,193,2,2,4L,0,1,0,1,0
120,194,8,2,4F,0,1,1,0,0
120,195,4,1,4,0,1,0,0,0
120,196,4,1,3,1,0,0,0,0
120,197,2,2,4F,0,1,1,0,0
120,198,32,5,34FLW,1,1,1,1,1
120,199,4,3,4LW,0,1,0,1,1
120,200,4,1,4,0,1,0,0,0
120,201,4,3,4LW,0,1,0,1,1
120,202,16,4,34FL,1,1,1,1,0
120,203,4,1,F,0,0,1,0,0
120,204,8,2,3W,1,0,0,0,1
120,205,1,1,L,0,0,0,1,0
120,206,8,4,34FL,1,1,1,1,0
120,207,32,5,34FLW,1,1,1,1,1
120,208,8,4,34FL,1,1,1,1,0
120,209,16,2,FL,0,0,1,1,0
120,210,8,4,34FL,1,1,1,1,0
120,211,2,2,FL,0,0,1,1,0
120,212,32,5,34FLW,1,1,1,1,1
120,213,8,5,34FLW,1,1,1,1,1
120,214,32,4,34FL,1,1,1,1,0
120,215,4,2,3W,1,0,0,0,1
120,216,4,2,FL,0,0,1,1,0
120,217,8,2,34,1,1,0,0,0
120,218,32,5,34FLW,1,1,1,1,1
120,219,32,5,34FLW,1,1,1,1,1
120,220,16,5,34FLW,1,1,1,1,1
120,221,2,1,W,0,0,0,0,1
120,222,4,4,34LW,1,1,0,1,1
120,223,4,3,3FW,1,0,1,0,1
120,224,2,2,4F,0,1,1,0,0
120,225,4,4,34LW,1,1,0,1,1
120,226,16,2,34,1,1,0,0,0
120,227,16,5,34FLW,1,1,1,1,1
120,228,32,5,34FLW,1,1,1,1,1
120,229,4,3,34L,1,1,0,1,0
120,230,1,1,4,0,1,0,0,0
120,231,16,2,34,1,1,0,0,0
120,232,8,5,34FLW,1,1,1,1,1
120,233,4,4,3FLW,1,0,1,1,1
120,234,2,2,3L,1,0,0,1,0
120,235,16,5,34FLW,1,1,1,1,1
120,236,2,2,4L,0,1,0,1,0
120,237,1,1,3,1,0,0,0,0
120,238,32,5,34FLW,1,1,1,1,1
120,239,16,5,34FLW,1,1,1,1,1
120,240,16,2,FL,0,0,1,1,0
120,241,4,1,F,0,0,1,0,0
120,242,16,5,34FLW,1,1,1,1,1
120,243,2,2,3W,1,0,0,0,1
120,244,0,0,,0,0,0,0,0
120,245,4,1,4,0,1,0,0,0
120,246,16,2,34,1,1,0,0,0
120,247,16,2,34,1,1,0,0,0
120,248,0,0,,0,0,0,0,0
120,249,32,5,34FLW,1,1,1,1,1
120,250,32,4,34FL,1,1,1,1,0
120,251,2,1,F,0,0,1,0,0
120,252,4,2,FL,0,0,1,1,0
120,253,16,5,34FLW,1,1,1,1,1
120,254,8,3,4FL,0,1,1,1,0
120,255,1,1,W,0,0,0,0,1
120,256,1,1,3,1,0,0,0,0
120,257,16,5,34FLW,1,1,1,1,1
120,258,16,2,34,1,1,0,0,0
120,259,2,2,4L,0,1,0,1,0
120,260,4,2,4W,0,1,0,0,1
120,261,8,2,FL,0,0,1,1,0
120,262,32,4,34FL,1,1,1,1,0
120,263,2,2,FW,0,0,1,0,1
120,264,8,1,L,0,0,0,1,0
120,265,1,1,L,0,0,0,1,0
120,266,8,5,34FLW,1,1,1,1,1
120,267,1,1,F,0,0,1,0,0
120,268,1,1,3,1,0,0,0,0
120,269,8,1,F,0,0,1,0,0
120,270,4,2,34,1,1,0,0,0
120,271,32,4,34FL,1,1,1,1,0
120,272,2,2,LW,0,0,0,1,1
120,273,16,5,34FLW,1,1,1,1,1
120,274,32,4,34FL,1,1,1,1,0
120,275,32,4,34FL,1,1,1,1,0
120,276,8,1,3,1,0,0,0,0
120,277,8,2,FL,0,0,1,1,0
120,278,2,2,34,1,1,0,0,0
120,279,2,2,3F,1,0,1,0,0
120,280,1,1,4,0,1,0,0,0
120,281,8,1,4,0,1,0,0,0
120,282,1,1,4,0,1,0,0,0
120,283,8,3,34F,1,1,1,0,0
120,284,4,1,4,0,1,0,0,0
120,285,4,1,4,0,1,0,0,0
120,286,4,3,34L,1,1,0,1,0
120,287,4,3,34F,1,1,1,0,0
120,288,8,2,34,1,1,0,0,0
120,289,4,1,L,0,0,0,1,0
120,290,1,1,F,0,0,1,0,0
120,291,1,1,L,0,0,0,1,0
120,292,8,3,34L,1,1,0,1,0
120,293,8,4,4FLW,0,1,1,1,1
120,294,32,5,34FLW,1,1,1,1,1
120,295,32,5,34FLW,1,1,1,1,1
120,296,1,1,W,0,0,0,0,1
120,297,4,2,34,1,1,0,0,0
120,298,2,1,L,0,0,0,1,0
120,299,16,5,34FLW,1,1,1,1,1
120,300,2,2,4L,0,1,0,1,0
120,301,16,5,34FLW,1,1,1,1,1
120,302,4,3,FLW,0,0,1,1,1
120,303,8,3,3FL,1,0,1,1,0
120,304,2,1,3,1,0,0,0,0
120,305,32,5,34FLW,1,1,1,1,1
120,306,32,5,34FLW,1,1,1,1,1
120,307,8,4,4FLW,0,1,1,1,1
120,308,1,1,F,0,0,1,0,0
120,309,32,4,34FL,1,1,1,1,0
120,310,2,1,4,0,1,0,0,0
120,311,2,2,34,1,1,0,0,0
120,312,16,2,FL,0,0,1,1,0
120,313,8,4,3FLW,1,0,1,1,1
120,314,2,2,3F,1,0,1,0,0
120,315,4,2,FW,0,0,1,0,1
120,316,4,2,FL,0,0,1,1,0
120,317,8,2,34,1,1,0,0,0
120,318,16,5,34FLW,1,1,1,1,1
120,319,16,2,FL,0,0,1,1,0
120,320,8,3,3FL,1,0,1,1,0
120,321,16,2,FL,0,0,1,1,0
120,322,2,2,4W,0,1,0,0,1
120,323,4,1,F,0,0,1,0,0
120,324,2,1,3,1,0,0,0,0
120,325,4,4,34FL,1,1,1,1,0
120,326,2,2,3W,1,0,0,0,1
120,327,8,2,4L,0,1,0,1,0
120,328,16,5,34FLW,1,1,1,1,1
120,329,16,5,34FLW,1,1,1,1,1
120,330,2,2,4F,0,1,1,0,0
120,331,16,5,34FLW,1,1,1,1,1
120,332,32,5,34FLW,1,1,1,1,1
120,333,1,1,3,1,0,0,0,0
120,334,2,2,34,1,1,0,0,0
120,335,2,2,3L,1,0,0,1,0
120,336,16,5,34FLW,1,1,1,1,1
120,337,8,4,34LW,1,1,0,1,1
120,338,1,1,F,0,0,1,0,0
120,339,16,5,34FLW,1,1,1,1,1
120,340,32,5,34FLW,1,1,1,1,1
120,341,32,5,34FLW,1,1,1,1,1
120,342,2,2,FL,0,0,1,1,0
